time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,pinn_E,pinn_N,pinn_U
9.799999952316284180e+00,-1.029827939341681348e-02,-1.051168830798476783e-10,-1.700000104048832519e-02,1.096410851565933697e+01,5.789620856343370647e+00,4.021311236140357437e+01,-1.311854830589247456e-01,1.996960858403307171e+00,5.388062961073984525e+00
9.899999856948852539e+00,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.119025113338311428e+01,5.644633418214271003e+00,4.017323738193155691e+01,2.569759106047939667e-01,1.480969077241370613e+00,5.711814938541664333e+00
1.000000000000000000e+01,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.114390962833177134e+01,5.638901394239292486e+00,4.012034586319576590e+01,-3.843782592414708432e-01,1.342074077955112799e+00,5.499663623663295198e+00
1.009999990463256836e+01,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.120987745676702474e+01,5.597649649195844290e+00,4.006367054544432449e+01,-5.095258101397135420e-01,1.760955647044355032e+00,5.289627939090564723e+00
1.019999980926513672e+01,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,1.110329534347471991e+01,5.630624554070751131e+00,4.007251139698344389e+01,6.190015609679022646e-02,1.433741352471630037e+00,5.672474108317672403e+00
1.029999995231628418e+01,2.361154475064020097e-10,3.848445117270171689e-10,-1.099999954297186527e-02,1.115650846014609421e+01,5.594411159720868554e+00,4.004622188161924612e+01,8.730354453145512394e-01,1.197534347739667382e+00,5.622470050564558619e+00
1.039999985694885254e+01,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.123024363675151882e+01,5.543412861626002552e+00,4.005224168521453976e+01,6.547064938579616467e-02,9.168073509143326305e-01,5.127048375430604210e+00
1.050000000000000000e+01,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.125425351939455965e+01,5.509235946661393157e+00,4.008878045242362020e+01,-4.117659203027059789e-01,8.877635879577798761e-01,5.233602573090124110e+00
1.059999990463256836e+01,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,1.118779444152412417e+01,5.557397981923829278e+00,4.006345391808664402e+01,5.289990847736358859e-01,1.497464319509278496e+00,5.430435901271458476e+00
1.069999980926513672e+01,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.104743073175237100e+01,5.647173656374514294e+00,4.004548608839049706e+01,-1.626517584040243491e-02,1.405950797945559216e+00,5.915417786235956044e+00
1.079999995231628418e+01,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.088141212902422872e+01,5.728243592527338279e+00,4.002950277508033139e+01,-1.550712146405253122e-02,1.460439446714349998e+00,5.931304838068612639e+00
1.089999985694885254e+01,4.003754446035845405e-10,5.365552425105890588e-10,-7.000000973226267950e-03,1.079210056268056306e+01,5.773884830167617110e+00,4.002523695211610999e+01,-9.547933200709017854e-01,1.485859450986708907e+00,5.711521017362692021e+00
1.100000000000000000e+01,1.311441521784778574e-10,5.335268613623073142e-10,-4.000001456550690039e-03,1.089918214261276219e+01,5.702059090172541644e+00,4.001032625558240596e+01,-4.787675720478823393e-01,1.021405041252863910e+00,5.210099090360237994e+00
