time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
9.000000000000000000e+00,1.225429251401980224e+01,4.216738402701363952e+01,9.878400335469329718e+00,1.282521020476358942e+01
9.099999904632568359e+00,1.226887481379613476e+01,4.216769349796908273e+01,9.720987876939741312e+00,1.569864410144511702e+01
9.199999809265136719e+00,1.224846872379399088e+01,4.211314829915993130e+01,9.677228095044007716e+00,1.426538396022935373e+01
9.299999952316284180e+00,1.225448233183899127e+01,4.205132338132697356e+01,1.080078815346762333e+01,1.562834894032165245e+01
9.399999856948852539e+00,1.224033078611127578e+01,4.205568016792963704e+01,1.088755103783258349e+01,1.396746789632950581e+01
9.500000000000000000e+00,1.226857207359490332e+01,4.202452906389753196e+01,1.039835532947607177e+01,1.474280949045772182e+01
9.599999904632568359e+00,1.250856882175436269e+01,4.209399022944852931e+01,1.034819427933178027e+01,1.442512390968138725e+01
9.699999809265136719e+00,1.243771405954824161e+01,4.208168615986804184e+01,1.089236149237741635e+01,1.521176501574276152e+01
9.799999952316284180e+00,1.240795372290477872e+01,4.210010991505364331e+01,1.027128373166018349e+01,1.384087470741228287e+01
9.899999856948852539e+00,1.254249556609183003e+01,4.210380195782871482e+01,1.077481246783921165e+01,1.676606126752063730e+01
1.000000000000000000e+01,1.249854249207312762e+01,4.204022656066996433e+01,1.048852409527237128e+01,1.439445793010862218e+01
1.009999990463256836e+01,1.253898028511867935e+01,4.199340069084833260e+01,1.048541579302537308e+01,1.458410504263879481e+01
1.019999980926513672e+01,1.245856723394888022e+01,4.197694748397214681e+01,1.048221671393484478e+01,1.507249573563942668e+01
1.029999995231628418e+01,1.248058961891410057e+01,4.195647914294535497e+01,1.113965961978707675e+01,1.579166162806945906e+01
1.039999985694885254e+01,1.253312451781886772e+01,4.197883598409250538e+01,1.089628925906783685e+01,1.446752780233622460e+01
1.050000000000000000e+01,1.253960961928658158e+01,4.201564471577337656e+01,1.041881206516449687e+01,1.418931053554055666e+01
1.059999990463256836e+01,1.250127810919083871e+01,4.197813313969641769e+01,1.118631292364618091e+01,1.503217776231120517e+01
1.069999980926513672e+01,1.240710667601735828e+01,4.193206591457651911e+01,1.019646973784743160e+01,1.471470687947691225e+01
1.079999995231628418e+01,1.229706894219385660e+01,4.188435995724938721e+01,9.980503050921122110e+00,1.426691088994905954e+01
1.089999985694885254e+01,1.223957436237927610e+01,4.186152381412438928e+01,1.002030299093886256e+01,1.442644293733989791e+01
1.100000000000000000e+01,1.230063613138463374e+01,4.186229753658393804e+01,1.087128515740348966e+01,1.465922934144103351e+01
1.109999990463256836e+01,1.240323575427055403e+01,4.192814153328579607e+01,1.139392515932675742e+01,1.492813831201770647e+01
1.119999980926513672e+01,1.245328713312013136e+01,4.188299567428428816e+01,1.126219672659834359e+01,1.569242031121480885e+01
1.129999995231628418e+01,1.233018107359981208e+01,4.186060684793736186e+01,1.127563090517746680e+01,1.543470253851383944e+01
1.139999985694885254e+01,1.225564881816548102e+01,4.184917440359365060e+01,1.084407167573888664e+01,1.485710713428270857e+01
1.150000000000000000e+01,1.228589696242810270e+01,4.185218911752352966e+01,1.152690025495945569e+01,1.608779233722235347e+01
1.159999990463256836e+01,1.240941947369172560e+01,4.189618899783395989e+01,1.192989194224709948e+01,1.611799175611031032e+01
1.169999980926513672e+01,1.242558593785719090e+01,4.193749574968812510e+01,1.124761368619465252e+01,1.493417670173967693e+01
