time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,nonpinn_E,nonpinn_N,nonpinn_U
8.099999904632568359e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,1.041252184706012329e+01,6.255699581333260539e+00,4.046735108559432348e+01,1.048546349304000458e+01,8.877009813271570238e-01,8.135593540123132072e+00
8.199999809265136719e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.028786302144103004e+01,6.274608798827856049e+00,4.040161359028087418e+01,9.636553471632527845e+00,1.710214801635473236e+00,8.188207027475698396e+00
8.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,1.049230064500425996e+01,6.205563173978873692e+00,4.032150132858228631e+01,9.254719511161791701e+00,2.299344406812735997e+00,9.004268242949962087e+00
8.399999856948852539e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,1.047457822022556861e+01,6.213298174587128742e+00,4.035911434192770741e+01,9.278999645091291271e+00,2.403501126018403156e+00,1.032025282878989003e+01
8.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,1.046286200049431692e+01,6.200482941965098860e+00,4.037195491463931774e+01,8.886191115408257346e+00,2.814018107751842024e+00,9.457386490414464220e+00
8.599999904632568359e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,1.036544763225185584e+01,6.226060452267562439e+00,4.030244385861004730e+01,9.258594266353723512e+00,2.298744740292464783e+00,9.557860013471497496e+00
8.699999809265136719e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.042932506645692392e+01,6.168355121057498280e+00,4.030538230308096104e+01,9.934860013375411469e+00,1.455343856256472890e+00,8.717491678080961037e+00
8.799999952316284180e+00,-1.029827967137239043e-02,9.503029006069363405e-11,-1.500000022311595918e-02,1.045071851137146091e+01,6.153727705844630691e+00,4.030738837006305175e+01,9.821862269668427459e+00,1.487077410587062332e+00,8.547323052909121088e+00
8.899999856948852539e+00,-1.029827944526204991e-02,6.364010533832509253e-11,-1.800000087908893223e-02,1.054624849506762985e+01,6.092151324176750649e+00,4.038420062474171601e+01,9.984350263561282190e+00,1.402836958789787758e+00,8.803612999238175973e+00
9.000000000000000000e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.065267718292018273e+01,6.038926884659121086e+00,4.033549796466120085e+01,9.775578264959062125e+00,1.348856255539248039e+00,8.167439092438300463e+00
9.099999904632568359e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.069722036933210418e+01,5.989518527881546817e+00,4.032938963252763642e+01,9.402779623024731137e+00,2.427255515949173770e+00,1.231279283839921845e+01
9.199999809265136719e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,1.068821012023060568e+01,5.963799351763396928e+00,4.027958337400232836e+01,9.350061764746596893e+00,2.456095093798309037e+00,1.046805129382883592e+01
9.299999952316284180e+00,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.068915331649529321e+01,5.974451554854036672e+00,4.020712909941354241e+01,1.074277858721958978e+01,1.014081967909456594e+00,1.127649761085191216e+01
9.399999856948852539e+00,-1.029827972321762861e-02,-1.667913472266913111e-10,-1.600000023903684968e-02,1.067136745732075020e+01,5.977266385757911138e+00,4.021899146267723779e+01,1.086056994478946969e+01,6.024876381993173879e-01,8.733365241974112791e+00
9.500000000000000000e+00,-1.029827939341681348e-02,-1.051168830798476783e-10,-1.700000104048832519e-02,1.071129075346659576e+01,5.963672353781340973e+00,4.017682021685265426e+01,1.029918260036181366e+01,1.356612398184417145e+00,1.043405920096062545e+01
9.599999904632568359e+00,-1.029827972321762861e-02,-1.667913472266913111e-10,-1.600000023903684968e-02,1.107923534354399209e+01,5.786755269270825508e+00,4.017653314843137480e+01,1.023809668263624673e+01,1.433710282545971992e+00,1.003382961525876738e+01
9.699999809265136719e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.100552332003603517e+01,5.774807710526003390e+00,4.018763653840298389e+01,1.084134500821123659e+01,9.409444521641869841e-01,1.060458071436161731e+01
9.799999952316284180e+00,-1.029827939341681348e-02,-1.051168830798476783e-10,-1.700000104048832519e-02,1.096410851565933697e+01,5.789620856343370647e+00,4.021311236140357437e+01,1.017275165406799786e+01,1.343414763508897991e+00,9.260421164008249661e+00
9.899999856948852539e+00,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.119025113338311428e+01,5.644633418214271003e+00,4.017323738193155691e+01,1.065188803428490871e+01,1.553823119294593269e+00,1.282639711951853201e+01
1.000000000000000000e+01,-1.029827945398633510e-02,2.668156581092651081e-10,-1.899999957839214326e-02,1.114390962833177134e+01,5.638901394239292486e+00,4.012034586319576590e+01,1.043002140039216563e+01,1.004421394697056158e+00,9.839563878866542268e+00
1.009999990463256836e+01,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,1.120987745676702474e+01,5.597649649195844290e+00,4.006367054544432449e+01,1.040694143925374959e+01,1.193759039454633353e+00,1.012267479263289260e+01
1.019999980926513672e+01,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,1.110329534347471991e+01,5.630624554070751131e+00,4.007251139698344389e+01,1.037438626821455756e+01,1.426602146539012850e+00,1.081766299126464048e+01
1.029999995231628418e+01,2.361154475064020097e-10,3.848445117270171689e-10,-1.099999954297186527e-02,1.115650846014609421e+01,5.594411159720868554e+00,4.004622188161924612e+01,1.111185323397507752e+01,7.865965616373724600e-01,1.118205858718469869e+01
1.039999985694885254e+01,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.123024363675151882e+01,5.543412861626002552e+00,4.005224168521453976e+01,1.085047627844844875e+01,8.790308807300064586e-01,9.505365254703065148e+00
1.050000000000000000e+01,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,1.125425351939455965e+01,5.509235946661393157e+00,4.008878045242362020e+01,1.034949506602541902e+01,1.107396213537613860e+00,9.620491315537023524e+00
1.059999990463256836e+01,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,1.118779444152412417e+01,5.557397981923829278e+00,4.006345391808664402e+01,1.116775570267734530e+01,4.297739470422374808e-01,1.003155226050531468e+01
1.069999980926513672e+01,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.104743073175237100e+01,5.647173656374514294e+00,4.004548608839049706e+01,1.006178394744679849e+01,1.651816858202517224e+00,1.060017543613448510e+01
1.079999995231628418e+01,3.398059216820625839e-10,4.733053489067162722e-11,-8.999999865770651197e-03,1.088141212902422872e+01,5.728243592527338279e+00,4.002950277508033139e+01,9.811068992236814168e+00,1.831219914701410545e+00,1.018581756532920224e+01
1.089999985694885254e+01,4.003754446035845405e-10,5.365552425105890588e-10,-7.000000973226267950e-03,1.079210056268056306e+01,5.773884830167617110e+00,4.002523695211610999e+01,9.868924572099050607e+00,1.735165652921523360e+00,1.037162147741518226e+01
